Age,gamma_male,theta_male,lx_male,gamma_female,theta_female,lx_female
0,0.000,0.000,1.000,0.000,0.000,1.000
1,0.232,-0.003,0.964,0.098,0.084,0.971
5,0.000,0.000,0.952,0.000,0.000,0.960
10,-0.035,-0.002,0.946,0.014,-0.034,0.956
15,-0.045,-0.001,0.941,0.036,-0.056,0.952
20,-0.001,-0.006,0.931,0.100,-0.094,0.946
25,0.068,-0.029,0.916,0.137,-0.122,0.939
30,0.123,-0.051,0.901,0.157,-0.142,0.931
35,0.170,-0.072,0.885,0.178,-0.159,0.921
40,0.207,-0.088,0.864,0.202,-0.170,0.908
45,0.228,-0.096,0.837,0.220,-0.169,0.889
50,0.210,-0.086,0.800,0.205,-0.141,0.864
55,0.139,-0.055,0.749,0.137,-0.086,0.829
60,0.000,0.000,0.680,0.000,0.000,0.782
65,-0.206,0.072,0.588,-0.252,0.132,0.715
70,-0.489,0.161,0.474,-0.627,0.312,0.620
75,-0.869,0.264,0.341,-1.147,0.540,0.489
80,-1.383,0.391,0.204,-1.819,0.816,0.328
85,-2.076,0.548,0.093,-2.645,1.130,0.171
90,-3.064,0.770,0.029,-3.750,1.536,0.062
95,-4.391,1.074,0.005,-5.194,2.053,0.014
100,-6.251,1.528,0.001,-7.204,2.809,0.002
105,-8.607,2.134,0.000,-9.727,3.800,0.000
110,-11.392,2.875,0.000,-12.698,5.007,0.000
